Epoch,Total loss,Train CE loss,Val CE loss,Test CE loss,NegBin rule loss,NegBin detector loss,L2 weights loss,Time window abundance loss,Time window slope loss
0,11456.2626953125,13.886948585510254,"tensor(13.7851, device='cuda:0')","tensor(13.7851, device='cuda:0')",1.6094229221343994,23.02562713623047,66.75404357910156,-39.04084396362305,-24.910964965820312
1,11437.966796875,13.826087951660156,"tensor(13.7310, device='cuda:0')","tensor(13.7310, device='cuda:0')",1.6041615009307861,22.9730224609375,66.75404357910156,-51.26832580566406,-30.86044692993164
2,11420.33984375,13.711004257202148,"tensor(13.7775, device='cuda:0')","tensor(13.7775, device='cuda:0')",1.6000075340270996,22.929746627807617,66.75404357910156,-58.07154846191406,-41.52180480957031
3,11399.4404296875,13.48863410949707,"tensor(13.8900, device='cuda:0')","tensor(13.8900, device='cuda:0')",1.5964808464050293,22.88919448852539,66.7540512084961,-61.00252914428711,-59.2237548828125
4,11388.13671875,13.249755859375,"tensor(14.2776, device='cuda:0')","tensor(14.2776, device='cuda:0')",1.5938339233398438,22.849491119384766,66.7540512084961,-62.42423629760742,-68.82487487792969
5,11380.025390625,13.0350923538208,"tensor(14.8128, device='cuda:0')","tensor(14.8128, device='cuda:0')",1.5918238162994385,22.810016632080078,66.7540512084961,-63.25560760498047,-75.84893035888672
6,11374.548828125,12.859807968139648,"tensor(14.9719, device='cuda:0')","tensor(14.9719, device='cuda:0')",1.5903172492980957,22.77044677734375,66.7540512084961,-63.965782165527344,-80.3977279663086
7,11371.509765625,12.700600624084473,"tensor(14.4461, device='cuda:0')","tensor(14.4461, device='cuda:0')",1.5891516208648682,22.730453491210938,66.7540512084961,-65.34166717529297,-81.86152648925781
8,11367.38671875,12.540383338928223,"tensor(13.4313, device='cuda:0')","tensor(13.4313, device='cuda:0')",1.5882141590118408,22.68975257873535,66.7540512084961,-68.5280532836914,-82.59674072265625
9,11361.9453125,12.384902000427246,"tensor(12.0239, device='cuda:0')","tensor(12.0239, device='cuda:0')",1.5875015258789062,22.648162841796875,66.7540512084961,-73.30174255371094,-83.06597137451172
10,11356.6044921875,12.241342544555664,"tensor(11.3813, device='cuda:0')","tensor(11.3813, device='cuda:0')",1.586977243423462,22.605571746826172,66.7540512084961,-77.73692321777344,-83.78565979003906
11,11353.4140625,12.105138778686523,"tensor(10.0816, device='cuda:0')","tensor(10.0816, device='cuda:0')",1.586669921875,22.561935424804688,66.7540512084961,-80.07003021240234,-84.46333312988281
12,11350.4482421875,11.967897415161133,"tensor(9.8778, device='cuda:0')","tensor(9.8778, device='cuda:0')",1.5866048336029053,22.516948699951172,66.7540512084961,-81.54241943359375,-85.77322387695312
13,11348.7724609375,11.852531433105469,"tensor(9.0894, device='cuda:0')","tensor(9.0894, device='cuda:0')",1.5868422985076904,22.470928192138672,66.7540512084961,-82.67445373535156,-86.15626525878906
14,11347.734375,11.730298042297363,"tensor(9.1334, device='cuda:0')","tensor(9.1334, device='cuda:0')",1.587284803390503,22.423534393310547,66.7540512084961,-83.44407653808594,-86.25546264648438
15,11347.0234375,11.594419479370117,"tensor(8.7824, device='cuda:0')","tensor(8.7824, device='cuda:0')",1.5879395008087158,22.37513542175293,66.7540512084961,-83.90169525146484,-86.32554626464844
