name	description	leaves
Otu000082	OTU mapped to Parabacteroides distasonis	
Otu000083	OTU mapped to a clade within genus Desulfovibrio,including representatives of species Desulfovibrio intestinalis, Desulfovibrio desulfuricans, Desulfovibrio piger	
Otu000084	OTU mapped to Oscillibacter valericigenes	
Otu000085	OTU mapped to Coprococcus eutactus	
Otu000086	OTU mapped to Coprococcus comes	
Otu000088	OTU mapped to a clade within genus Streptococcus,including representatives of species Streptococcus criceti, Streptococcus orisuis	
Otu000089	OTU mapped to Paraprevotella clara	
Otu000090	OTU mapped to Clostridium lactatifermentans	
Otu000091	OTU mapped to [Ruminococcus] torques	
Otu000092	OTU mapped to Ruminococcus lactaris	
Otu000093	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Oscillospiraceae	
Otu000094	OTU mapped to Oscillibacter valericigenes	
Otu000095	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae	
Otu000097	OTU mapped to Oscillibacter valericigenes	
Otu000098	OTU mapped to a clade within phylum Chlorobi or Ignavibacteriae or Proteobacteria or Bacteroidetes or Deinococcus-Thermus	
Otu000099	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides rodentium, Bacteroides fluxus	
Otu000100	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
Otu000101	OTU mapped to Bacteroides dorei	
Otu000102	OTU mapped to [Ruminococcus] obeum	
Otu000103	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000106	OTU mapped to Oscillibacter valericigenes	
Otu000107	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides cellulosilyticus, Bacteroides intestinalis, Bacteroides oleiciplenus	
Otu000108	OTU mapped to Bacteroides clarus	
Otu000109	OTU mapped to Alistipes shahii	
Otu000112	OTU mapped to a clade within class Mollicutes,including representatives of order Entomoplasmatales, Acholeplasmatales, Mycoplasmatales	
Otu000113	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000115	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Peptostreptococcaceae	
Otu000116	OTU mapped to Bacteroides ovatus	
Otu000117	OTU mapped to Roseburia hominis	
Otu000118	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae, Clostridiaceae	
Otu000119	OTU mapped to Bacteroides ovatus	
Otu000124	OTU mapped to Bacteroides paurosaccharolyticus	
Otu000125	OTU mapped to Bacteroides ovatus	
Otu000126	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
Otu000127	OTU mapped to a clade within family Veillonellaceae,including representatives of genus Megasphaera, Anaeroglobus	
Otu000129	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
Otu000130	OTU mapped to Ruminococcus lactaris	
Otu000132	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Lachnospiraceae, Eubacteriaceae	
Otu000134	OTU mapped to Bacteroides dorei	
Otu000135	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Faecalibacterium, Gemmiger	
Otu000136	OTU mapped to a clade within phylum Chlorobi or Ignavibacteriae or Proteobacteria or Bacteroidetes or Deinococcus-Thermus	
Otu000138	OTU mapped to Oscillibacter valericigenes	
Otu000139	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium disporicum, Clostridium celatum	
Otu000141	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides xylanisolvens, Bacteroides ovatus	
Otu000142	OTU mapped to Bacteroides dorei	
Otu000143	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
